Time,Open,Close,High,Low,Volume
2016-10-09,695000.0,693000.0,697000.0,691000.0,1924.25845161
2016-10-10,691000.0,696000.0,698000.0,691000.0,3444.78989639
2016-10-11,696000.0,719000.0,719000.0,693000.0,3885.73592712
2016-10-12,718000.0,730000.0,733000.0,717000.0,4134.03332858
2016-10-13,729000.0,729000.0,732000.0,724000.0,3810.81179574
2016-10-14,728000.0,728000.0,731000.0,725000.0,3486.90851702
2016-10-15,728000.0,734000.0,735000.0,726000.0,2266.85759182
2016-10-16,733000.0,735000.0,739000.0,727000.0,2437.79374586
2016-10-17,734000.0,737000.0,739000.0,733000.0,3064.89298246
2016-10-18,736000.0,733000.0,737000.0,730000.0,4121.16310117
2016-10-19,732000.0,714000.0,733000.0,712000.0,3447.23785432
2016-10-20,714000.0,719000.0,720000.0,713000.0,3603.83595661
2016-10-21,718000.0,725000.0,726000.0,717000.0,3749.46703606
2016-10-22,724000.0,736000.0,736000.0,723000.0,2277.1583648
2016-10-23,736000.0,752000.0,760000.0,736000.0,3173.36321225
2016-10-24,751000.0,750000.0,753000.0,744000.0,2793.16406512
2016-10-25,750000.0,759000.0,760000.0,748000.0,3902.59783996
2016-10-26,757000.0,767000.0,776000.0,750000.0,5368.27044588
2016-10-27,767000.0,789000.0,799000.0,767000.0,5756.61473486
2016-10-28,789000.0,790000.0,801000.0,785000.0,4366.01201496
2016-10-29,790000.0,825000.0,828000.0,790000.0,4150.30392798
2016-10-30,825000.0,817000.0,834000.0,801000.0,4533.52205314
2016-10-31,817000.0,813000.0,820000.0,788000.0,3945.53229195
2016-11-01,814000.0,834000.0,838000.0,808000.0,4698.13004086
2016-11-02,834000.0,837000.0,840000.0,829000.0,3691.74085104
2016-11-03,836000.0,847000.0,865000.0,834000.0,6164.60400769
2016-11-04,847000.0,802000.0,847000.0,782000.0,8720.92488611
2016-11-05,800000.0,799000.0,812000.0,786000.0,3714.16798919
2016-11-06,800000.0,800000.0,819000.0,799000.0,2862.88074737
2016-11-07,800000.0,803000.0,815000.0,797000.0,3286.30350679
2016-11-08,803000.0,814000.0,817000.0,802000.0,3026.01628064
2016-11-09,815000.0,830000.0,846000.0,808000.0,6143.83535352
2016-11-10,831000.0,827000.0,837000.0,822000.0,4076.43038403
2016-11-11,824000.0,838000.0,839000.0,824000.0,4337.45764897
2016-11-12,838000.0,827000.0,838000.0,824000.0,3057.83616388
2016-11-13,828000.0,808000.0,832000.0,804000.0,3860.50853494
2016-11-14,808000.0,825000.0,830000.0,806000.0,3523.78479836
2016-11-15,827000.0,833000.0,835000.0,823000.0,3561.22536406
2016-11-16,833000.0,858000.0,869000.0,831000.0,5053.74479434
2016-11-17,858000.0,884000.0,907000.0,854000.0,7628.36244229
2016-11-18,886000.0,904000.0,907000.0,883000.0,5284.47806195
2016-11-19,904000.0,904000.0,918000.0,884000.0,4556.20939006
2016-11-20,904000.0,879000.0,916000.0,879000.0,4366.27317459
2016-11-21,879000.0,884000.0,899000.0,867000.0,6499.29109981
2016-11-22,886000.0,898000.0,899000.0,882000.0,3904.64002447
2016-11-23,897000.0,892000.0,906000.0,884000.0,4184.92296125
2016-11-24,892000.0,890000.0,899000.0,885000.0,4466.22236271
2016-11-25,890000.0,883000.0,893000.0,880000.0,4864.0588004
2016-11-26,882000.0,879000.0,889000.0,875000.0,3585.34225892
2016-11-27,878000.0,881000.0,885000.0,872000.0,2929.540392
2016-11-28,882000.0,879000.0,886000.0,876000.0,3355.03624949
2016-11-29,878000.0,874000.0,882000.0,872000.0,3618.10051523
2016-11-30,875000.0,882000.0,887000.0,871000.0,4019.2748472
2016-12-01,882000.0,895000.0,898000.0,880000.0,4134.15165672
2016-12-02,897000.0,915000.0,919000.0,895000.0,5907.44424311
2016-12-03,915000.0,910000.0,919000.0,901000.0,3169.48801596
2016-12-04,910000.0,913000.0,914000.0,904000.0,2716.29822318
2016-12-05,914000.0,905000.0,918000.0,898000.0,4781.33779424
2016-12-06,905000.0,908000.0,911000.0,902000.0,4343.63874984
2016-12-07,906000.0,908000.0,909000.0,903000.0,4093.90810608
2016-12-08,907000.0,907000.0,910000.0,905000.0,3725.84515427
2016-12-09,908000.0,916000.0,918000.0,907000.0,3242.73233909
2016-12-10,915000.0,920000.0,922000.0,914000.0,3007.79211768
2016-12-11,920000.0,915000.0,924000.0,911000.0,3185.18962405
2016-12-12,915000.0,926000.0,929000.0,914000.0,4257.60730669
2016-12-13,926000.0,932000.0,942000.0,920000.0,5996.72240976
2016-12-14,932000.0,932000.0,937000.0,929000.0,4356.15199244
2016-12-15,932000.0,934000.0,936000.0,928000.0,4296.20842482
2016-12-16,934000.0,942000.0,944000.0,933000.0,4518.07682387
2016-12-17,942000.0,961000.0,964000.0,942000.0,4076.3105032
2016-12-18,960000.0,960000.0,972000.0,959000.0,3717.01645094
2016-12-19,960000.0,963000.0,969000.0,959000.0,4364.75854962
2016-12-20,962000.0,965000.0,967000.0,961000.0,4305.95520135
2016-12-21,964000.0,996000.0,998000.0,963000.0,6182.99810908
2016-12-22,995000.0,1070000.0,1088000.0,993000.0,10202.11811056
2016-12-23,1069000.0,1140000.0,1150000.0,1056000.0,9428.32885038
2016-12-24,1140000.0,1136000.0,1179000.0,1100000.0,8962.8948989
2016-12-25,1136000.0,1085000.0,1146000.0,1054000.0,7027.49638671
2016-12-26,1085000.0,1125000.0,1146000.0,1082000.0,7232.71457735
2016-12-27,1125000.0,1146000.0,1159000.0,1116000.0,7067.69497094
2016-12-28,1147000.0,1191000.0,1193000.0,1143000.0,7494.05633825
2016-12-29,1190000.0,1196000.0,1207000.0,1166000.0,8200.69152223
2016-12-30,1197000.0,1187000.0,1205000.0,1172000.0,8452.54640176
2016-12-31,1187000.0,1192000.0,1198000.0,1185000.0,4714.65337389
2017-01-01,1192000.0,1216000.0,1216000.0,1191000.0,3459.18389663
2017-01-02,1215000.0,1323000.0,1328000.0,1213000.0,10240.98544221
2017-01-03,1323000.0,1343000.0,1428000.0,1271000.0,14153.21260394
2017-01-04,1347000.0,1404000.0,1420000.0,1342000.0,9969.4983167
2017-01-05,1405000.0,1324000.0,1700000.0,1155000.0,23554.59399631
2017-01-06,1323000.0,1172000.0,1530000.0,1077000.0,21227.66605731
2017-01-07,1173000.0,1115000.0,1243000.0,1002000.0,18811.77413465
2017-01-08,1114000.0,1167000.0,1215000.0,1097000.0,11692.36537741
2017-01-09,1164000.0,1120000.0,1179000.0,1100000.0,10185.60960909
2017-01-10,1120000.0,1113000.0,1140000.0,1105000.0,6631.17234572
2017-01-11,1112000.0,997000.0,1127000.0,911000.0,12830.08716887
2017-01-12,997000.0,924000.0,997000.0,887000.0,14246.45766627
2017-01-13,926000.0,963000.0,990000.0,911000.0,12118.57452336
2017-01-14,964000.0,988000.0,999000.0,957000.0,7454.91888992
2017-01-15,989000.0,975000.0,997000.0,963000.0,4765.69387629
2017-01-16,975000.0,985000.0,989000.0,965000.0,4897.02250721
2017-01-17,985000.0,1065000.0,1118000.0,983000.0,12262.19958796
2017-01-18,1063000.0,1037000.0,1111000.0,1005000.0,11860.7137315
2017-01-19,1038000.0,1065000.0,1076000.0,1031000.0,6791.71589941
2017-01-20,1065000.0,1070000.0,1080000.0,1059000.0,4625.31361881
2017-01-21,1070000.0,1097000.0,1105000.0,1067000.0,5293.15220046
2017-01-22,1095000.0,1094000.0,1121000.0,1066000.0,6351.6563603
2017-01-23,1090000.0,1101000.0,1110000.0,1086000.0,4091.35843829
2017-01-24,1101000.0,1085000.0,1106000.0,1080000.0,5374.9377155
2017-01-25,1086000.0,1077000.0,1092000.0,1071000.0,4466.0585712
2017-01-26,1074000.0,1089000.0,1091000.0,1070000.0,3687.03592669
2017-01-27,1090000.0,1092000.0,1099000.0,1085000.0,3161.63306287
2017-01-28,1093000.0,1096000.0,1099000.0,1091000.0,954.89098897
2017-01-29,1096000.0,1100000.0,1100000.0,1095000.0,1071.15896922
2017-01-30,1100000.0,1100000.0,1101000.0,1095000.0,1607.07460802
2017-01-31,1100000.0,1132000.0,1145000.0,1090000.0,5873.88264895
2017-02-01,1132000.0,1174000.0,1190000.0,1130000.0,7293.57519507
2017-02-02,1176000.0,1195000.0,1199000.0,1173000.0,6451.59476304
2017-02-03,1194000.0,1232000.0,1259000.0,1192000.0,13701.6087482
2017-02-04,1232000.0,1228000.0,1246000.0,1220000.0,5313.59135535
2017-02-05,1227000.0,1236000.0,1244000.0,1227000.0,3476.4073411
2017-02-06,1237000.0,1232000.0,1238000.0,1229000.0,4839.26760716
2017-02-07,1232000.0,1243000.0,1247000.0,1222000.0,5222.40870995
2017-02-08,1242000.0,1244000.0,1266000.0,1229000.0,7960.42055946
2017-02-09,1244000.0,1132000.0,1267000.0,1113000.0,13816.75130008
2017-02-10,1131000.0,1145000.0,1230000.0,1083000.0,12298.71918656
2017-02-11,1144000.0,1193000.0,1202000.0,1141000.0,6671.90843022
2017-02-12,1193000.0,1192000.0,1200000.0,1187000.0,2178.78359675
2017-02-13,1192000.0,1182000.0,1199000.0,1160000.0,5289.15222605
2017-02-14,1182000.0,1182000.0,1194000.0,1173000.0,4967.17574309
2017-02-15,1181000.0,1182000.0,1187000.0,1179000.0,3022.00942562
2017-02-16,1183000.0,1193000.0,1193000.0,1181000.0,4047.56872605
2017-02-17,1193000.0,1237000.0,1247000.0,1193000.0,8042.26371715
2017-02-18,1238000.0,1238000.0,1245000.0,1231000.0,3919.47272449
2017-02-19,1238000.0,1237000.0,1243000.0,1231000.0,2174.48909995
2017-02-20,1236000.0,1241000.0,1245000.0,1234000.0,3266.56613067
